pc_pickup,pc_delivery,nbr_packages,hour,id_scenario,probability,nbS,mean
75003,75017,2,0,1,1.0,1,1
75009,75015,1,0,1,1.0,1,1
75012,75015,3,0,1,1.0,1,1
75015,75020,1,0,1,1.0,1,1
75006,75019,1,0,1,1.0,1,1
75006,75010,1,0,1,1.0,1,1
75013,75017,6,1,1,1.0,1,1
75009,75020,2,1,1,1.0,1,1
75001,75116,1,1,1,1.0,1,1
75006,75018,3,1,1,1.0,1,1
75003,75009,1,1,1,1.0,1,1
75005,75017,2,1,1,1.0,1,1
75015,75017,2,1,1,1.0,1,1
75003,75019,1,1,1,1.0,1,1
75009,75016,6,2,1,1.0,1,1
75003,75019,3,2,1,1.0,1,1
75006,75011,4,2,1,1.0,1,1
75002,75009,3,2,1,1.0,1,1
75003,75006,2,2,1,1.0,1,1
75004,75017,1,2,1,1.0,1,1
75003,75009,1,3,2,0.3638,4,1
75008,75011,2,4,5,0.1922,14,1
75008,75012,1,4,5,0.1922,14,1
75003,75009,1,4,5,0.1922,14,1
75008,75010,1,5,6,0.1852,16,1
75012,75015,1,5,6,0.1852,16,1
75006,75019,1,5,6,0.1852,16,1
75006,75013,1,5,6,0.1852,16,1
75009,75019,1,5,6,0.1852,16,1
75003,75017,3,6,6,0.1799,17,1
75009,75010,1,6,6,0.1799,17,1
75008,75016,1,6,6,0.1799,17,1
75001,75019,1,7,3,0.2818,8,1
75001,75014,1,7,3,0.2818,8,1
75007,75015,1,8,3,0.2677,8,1
75011,75016,1,8,3,0.2677,8,1
75008,75008,1,9,3,0.2651,8,1
75007,75018,1,9,3,0.2651,8,1
75011,75011,1,10,2,0.3711,4,1
75008,75015,1,11,2,0.3678,4,1
75006,75017,1,3,1,0.377,4,0
75006,75017,1,3,2,0.3638,4,1
75006,75017,1,3,3,0.1766,4,0
75006,75017,1,3,4,0.065,4,0
75013,75116,1,3,1,0.377,4,0
75013,75116,1,3,2,0.3638,4,1
75013,75116,1,3,3,0.1766,4,0
75013,75116,1,3,4,0.065,4,0
75009,75014,1,3,1,0.377,4,0
75009,75014,1,3,2,0.3638,4,1
75009,75014,1,3,3,0.1766,4,0
75009,75014,1,3,4,0.065,4,0
75009,75009,1,3,1,0.377,4,0
75009,75009,1,3,2,0.3638,4,1
75009,75009,1,3,3,0.1766,4,0
75009,75009,1,3,4,0.065,4,0
75009,75018,1,3,1,0.377,4,0
75009,75018,1,3,2,0.3638,4,1
75009,75018,1,3,3,0.1766,4,0
75009,75018,1,3,4,0.065,4,0
75009,75020,1,3,1,0.377,4,0
75009,75020,1,3,2,0.3638,4,1
75009,75020,1,3,3,0.1766,4,0
75009,75020,1,3,4,0.065,4,0
75012,75020,1,3,1,0.377,4,0
75012,75020,1,3,2,0.3638,4,1
75012,75020,1,3,3,0.1766,4,0
75012,75020,1,3,4,0.065,4,0
75008,75008,1,3,1,0.377,4,0
75008,75008,1,3,2,0.3638,4,1
75008,75008,1,3,3,0.1766,4,0
75008,75008,1,3,4,0.065,4,0
75013,75018,1,3,1,0.377,4,0
75013,75018,1,3,2,0.3638,4,1
75013,75018,1,3,3,0.1766,4,0
75013,75018,1,3,4,0.065,4,0
75003,75003,1,3,1,0.377,4,0
75003,75003,1,3,2,0.3638,4,1
75003,75003,1,3,3,0.1766,4,0
75003,75003,1,3,4,0.065,4,0
75018,75019,1,3,1,0.377,4,0
75018,75019,1,3,2,0.3638,4,1
75018,75019,1,3,3,0.1766,4,0
75018,75019,1,3,4,0.065,4,0
75016,75019,1,3,1,0.377,4,0
75016,75019,1,3,2,0.3638,4,1
75016,75019,1,3,3,0.1766,4,0
75016,75019,1,3,4,0.065,4,0
75009,75116,1,3,1,0.377,4,0
75009,75116,1,3,2,0.3638,4,1
75009,75116,1,3,3,0.1766,4,0
75009,75116,1,3,4,0.065,4,0
75020,75020,1,3,1,0.377,4,0
75020,75020,1,3,2,0.3638,4,1
75020,75020,1,3,3,0.1766,4,0
75020,75020,1,3,4,0.065,4,0
75003,75009,1,3,1,0.377,4,0
75003,75009,1,3,2,0.3638,4,1
75003,75009,1,3,3,0.1766,4,0
75003,75009,1,3,4,0.065,4,0
