pc_pickup,pc_delivery,nbr_packages,hour,id_scenario,probability,nbS,mean
75012,75020,3,0,1,1.0,1,1
75001,75013,1,0,1,1.0,1,1
75009,75009,1,0,1,1.0,1,1
75014,75116,4,1,1,1.0,1,1
75008,75014,1,1,1,1.0,1,1
75016,75017,2,1,1,1.0,1,1
75011,75018,1,1,1,1.0,1,1
75003,75012,1,1,1,1.0,1,1
75015,75018,3,2,1,1.0,1,1
75013,75016,3,2,1,1.0,1,1
75011,75014,2,2,1,1.0,1,1
75011,75018,1,2,1,1.0,1,1
75008,75014,1,3,2,0.3748,4,1
75008,75019,1,4,3,0.2727,8,1
75009,75017,1,4,3,0.2727,8,1
75013,75019,1,5,3,0.272,8,1
75013,75020,1,5,3,0.272,8,1
75001,75009,1,6,3,0.2637,8,1
75009,75116,1,6,3,0.2637,8,1
75009,75011,1,7,2,0.3681,4,1
75009,75011,1,8,2,0.3719,4,1
75009,75016,1,9,2,0.3616,4,1
75009,75017,1,3,1,0.3662,4,0
75009,75017,1,3,2,0.3748,4,1
75009,75017,1,3,3,0.1814,4,0
75009,75017,1,3,4,0.0599,4,0
75001,75003,1,3,1,0.3662,4,0
75001,75003,1,3,2,0.3748,4,1
75001,75003,1,3,3,0.1814,4,0
75001,75003,1,3,4,0.0599,4,0
75003,75015,1,3,1,0.3662,4,0
75003,75015,1,3,2,0.3748,4,1
75003,75015,1,3,3,0.1814,4,0
75003,75015,1,3,4,0.0599,4,0
75017,75018,1,3,1,0.3662,4,0
75017,75018,1,3,2,0.3748,4,1
75017,75018,1,3,3,0.1814,4,0
75017,75018,1,3,4,0.0599,4,0
75001,75017,1,3,1,0.3662,4,0
75001,75017,1,3,2,0.3748,4,1
75001,75017,1,3,3,0.1814,4,0
75001,75017,1,3,4,0.0599,4,0
75011,75019,1,3,1,0.3662,4,0
75011,75019,1,3,2,0.3748,4,1
75011,75019,1,3,3,0.1814,4,0
75011,75019,1,3,4,0.0599,4,0
75009,75015,1,3,1,0.3662,4,0
75009,75015,1,3,2,0.3748,4,1
75009,75015,1,3,3,0.1814,4,0
75009,75015,1,3,4,0.0599,4,0
75009,75014,1,4,1,0.134,8,0
75009,75014,1,4,2,0.2698,8,0
75009,75014,1,4,3,0.2727,8,1
75009,75014,1,4,4,0.1825,8,0
75009,75014,1,4,5,0.0893,8,0
75009,75014,1,4,6,0.0358,8,0
75009,75014,1,4,7,0.0121,8,0
75009,75014,1,4,8,0.003,8,0
75017,75017,1,4,1,0.134,8,0
75017,75017,1,4,2,0.2698,8,0
75017,75017,1,4,3,0.2727,8,1
75017,75017,1,4,4,0.1825,8,0
75017,75017,1,4,5,0.0893,8,0
75017,75017,1,4,6,0.0358,8,0
75017,75017,1,4,7,0.0121,8,0
75017,75017,1,4,8,0.003,8,0
75001,75011,1,4,1,0.134,8,0
75001,75011,1,4,2,0.2698,8,0
75001,75011,1,4,3,0.2727,8,1
75001,75011,1,4,4,0.1825,8,0
75001,75011,1,4,5,0.0893,8,0
75001,75011,1,4,6,0.0358,8,0
75001,75011,1,4,7,0.0121,8,0
75001,75011,1,4,8,0.003,8,0
75009,75013,1,4,1,0.134,8,0
75009,75013,1,4,2,0.2698,8,0
75009,75013,1,4,3,0.2727,8,1
75009,75013,1,4,4,0.1825,8,0
75009,75013,1,4,5,0.0893,8,0
75009,75013,1,4,6,0.0358,8,0
75009,75013,1,4,7,0.0121,8,0
75009,75013,1,4,8,0.003,8,0
75018,75018,1,5,1,0.1315,8,0
75018,75018,1,5,2,0.2673,8,0
75018,75018,1,5,3,0.272,8,1
75018,75018,1,5,4,0.1885,8,0
75018,75018,1,5,5,0.0894,8,0
75018,75018,1,5,6,0.0345,8,0
75018,75018,1,5,7,0.0117,8,0
75018,75018,1,5,8,0.0038,8,0
75006,75008,1,5,1,0.1315,8,0
75006,75008,1,5,2,0.2673,8,0
75006,75008,1,5,3,0.272,8,1
75006,75008,1,5,4,0.1885,8,0
75006,75008,1,5,5,0.0894,8,0
75006,75008,1,5,6,0.0345,8,0
75006,75008,1,5,7,0.0117,8,0
75006,75008,1,5,8,0.0038,8,0
75005,75014,1,6,1,0.1377,8,0
75005,75014,1,6,2,0.2747,8,0
75005,75014,1,6,3,0.2637,8,1
75005,75014,1,6,4,0.1786,8,0
75005,75014,1,6,5,0.0931,8,0
75005,75014,1,6,6,0.0366,8,0
75005,75014,1,6,7,0.011,8,0
75005,75014,1,6,8,0.004,8,0
75008,75014,1,7,1,0.3666,4,0
75008,75014,1,7,2,0.3681,4,1
75008,75014,1,7,3,0.1865,4,0
75008,75014,1,7,4,0.0608,4,0
75008,75014,1,3,3,0.1814,4,0
75011,75116,1,3,3,0.1814,4,0
75008,75014,1,3,4,0.0599,4,0
75012,75014,1,3,4,0.0599,4,0
75009,75020,1,3,4,0.0599,4,0
75008,75019,1,4,2,0.2698,8,0
75008,75019,1,4,4,0.1825,8,0
75009,75017,1,4,4,0.1825,8,0
75002,75014,1,4,4,0.1825,8,0
75008,75019,1,4,5,0.0893,8,0
75009,75017,1,4,5,0.0893,8,0
75002,75014,1,4,5,0.0893,8,0
75011,75011,1,4,5,0.0893,8,0
75008,75019,1,4,6,0.0358,8,0
75009,75017,1,4,6,0.0358,8,0
75002,75020,1,4,6,0.0358,8,0
75009,75017,1,4,6,0.0358,8,0
75012,75017,1,4,6,0.0358,8,0
75008,75019,1,4,7,0.0121,8,0
75009,75017,1,4,7,0.0121,8,0
75013,75014,1,4,7,0.0121,8,0
75008,75014,1,4,7,0.0121,8,0
75002,75003,1,4,7,0.0121,8,0
75008,75019,1,4,7,0.0121,8,0
75008,75019,1,4,8,0.003,8,0
75009,75017,1,4,8,0.003,8,0
75017,75019,1,4,8,0.003,8,0
75009,75009,1,4,8,0.003,8,0
75010,75014,1,4,8,0.003,8,0
75008,75014,1,4,8,0.003,8,0
75015,75019,1,4,8,0.003,8,0
75013,75019,1,5,2,0.2673,8,0
75013,75019,1,5,4,0.1885,8,0
75013,75020,1,5,4,0.1885,8,0
75002,75009,1,5,4,0.1885,8,0
75013,75019,1,5,5,0.0894,8,0
75013,75020,1,5,5,0.0894,8,0
75009,75010,1,5,5,0.0894,8,0
75008,75017,1,5,5,0.0894,8,0
75013,75019,1,5,6,0.0345,8,0
